row.names(geneExp_df),baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000198018.7,760.3611984114561,-0.38644913978435114,0.1995985808997964,-1.936131700146498,0.05285157290345949,0.25532119575494616,ENTPD7
ENSG00000198019.13,16.39029471409639,1.0481838564074846,0.3991112728265091,2.6262947898821256,0.008632002384739624,0.09797533827467592,FCGR1B
ENSG00000198026.8,986.4287166591081,0.10478207035533882,0.15014766972921748,0.697860116938925,0.485264678619855,0.747605947432375,ZNF335
ENSG00000198034.11,61889.08644994127,-0.27680641590467003,0.1779154966089872,-1.5558308364392779,0.1197483233866304,0.38760674575713033,RPS4X
ENSG00000198039.11,207.95256537980464,-0.21858745626456388,0.2193666623172207,-0.9964479285757193,0.319032555444428,0.6177067024946684,ZNF273
ENSG00000198040.11,1158.1571385509574,-0.09937812777002832,0.17495727704336983,-0.568013685680497,0.5700256751105528,0.802316876431688,ZNF84
ENSG00000198042.11,448.4660603794906,0.07398985614304412,0.15301133308502962,0.4835580126730049,0.6286995790570133,0.8366805998695248,MAK16
ENSG00000198046.12,210.65095017537547,0.10494780380596631,0.48709605676422796,0.21545607349633056,0.8294117560541441,0.9352206856519812,ZNF667
ENSG00000198049.7,64.7251074540058,-1.3933406691588883,0.6036570407811234,-2.308166019824644,0.020989904337581026,0.1563841839528413,AVPR1B
ENSG00000198053.12,1154.5878564159245,0.21843172943487815,0.28022317689711074,0.7794920172326771,0.435689938169982,0.7122005704907388,SIRPA
ENSG00000198054.12,19.089833721852678,-0.14213440525483545,1.2916224613244704,-0.1100433056181807,0.9123750305268981,0.9680228870656287,DSCR8
ENSG00000198055.11,1626.7012311473907,0.34219177270952933,0.15698327485466124,2.179797644216165,0.029272464649341873,0.18836803280635978,GRK6
ENSG00000198056.15,95.43481198141446,0.3925302429998683,0.2589738831915252,1.515713623947056,0.12959178117167422,0.4027492838953755,PRIM1
ENSG00000198060.10,1566.3086922248733,-0.22561748902887077,0.15851653736174906,-1.4233056864848825,0.15464755925382512,0.4394034799618027,MARCHF5
ENSG00000198064.13,53.26770072459258,0.47766890264833617,0.4530310822563586,1.0543843929411354,0.2917069647577434,0.5936264304366842,NPIPB13
ENSG00000198074.10,378.4124720066552,-2.7135865385701408,0.7850736552394588,-3.456473823137598,0.0005472923615215723,0.018691978839632077,AKR1B10
ENSG00000198075.10,510.50358458108497,-0.8417248357498742,0.40284915951673356,-2.0894292959668213,0.03666909637048894,0.21177583489677443,SULT1C4
ENSG00000198081.11,266.4347869639141,0.057899795443202895,0.12687924212431578,0.45633780966687126,0.6481470790913877,0.8474228888699654,ZBTB14
ENSG00000198087.7,1798.246225227812,-0.20674073235689305,0.22045589836469037,-0.9377872576350444,0.3483537507631631,0.6444472698233902,CD2AP
ENSG00000198088.10,117.76744088680859,-0.5380656967978762,0.3272805108019854,-1.6440505286409255,0.10016576556159432,0.3537749845084432,NUP62CL
ENSG00000198089.16,903.9309329926887,-0.24833332751383172,0.1714213625739911,-1.4486719962142578,0.1474292045328649,0.4302835574628086,SFI1
ENSG00000198093.11,279.4018458889822,-0.22668037354820245,0.19399368703917644,-1.1684935577435829,0.24260773634746446,0.54279674190035,ZNF649
